From,To,Line,Time to use on map
Acton Central,Willesden Junction,LO,50.0
Acton Main Line,Ealing Broadway,NR,36.0
Acton Main Line,Ealing Broadway,TfL Rail,40.0
Acton Town,Ealing Common,District,20.0
Acton Town,Ealing Common,Piccadilly,20.0
Acton Town,South Ealing,Piccadilly,27.0
Aldgate,Liverpool Street,Metropolitan,9.0
Aldgate East,Whitechapel,Hammersmith & City,12.0
Alexandra Palace,Bowes Park,NR,17.0
Angel,King's Cross St.Pancras,Northern,16.0
Archway,Highgate,Northern,25.0
Arsenal,Finsbury Park,Piccadilly,10.0
Baker Street,Bond Street,Jubilee,16.0
Baker Street,Finchley Road,Metropolitan,44.0
Baker Street,Marylebone,Bakerloo,6.0
Baker Street,St.John's Wood,Jubilee,22.0
Balham,Tooting Bec,Northern,15.0
Balham,Wandsworth Common,NR,14.0
Bank,Liverpool Street,Central,10.0
Bank,Moorgate,Northern,9.0
Bank,Shadwell,DLR,29.0
Barbican,Farringdon,Metropolitan,8.0
Battersea Park,London Victoria,NR,29.0
Bayswater,Notting Hill Gate,District,10.0
Belsize Farm,Hampstead,Northern,16.0
Bermondsey,Canada Water,Jubilee,16.0
Bethnal Green,Cambridge Heath,LO,13.0
Bethnal Green,Mile End,Central,24.0
Blackfriars,City Thameslink,NR,6.0
Blackfriars,Mansion House,District,10.0
Blackheath,Lewisham,NR,26.0
Blackhorse Road,Walthamstow Central,Victoria,24.0
Blackhorse Road,Walthamstow Queen's Road,LO,23.0
Bond Street,Green Park,Jubilee,14.0
Bond Street,Oxford Circus,Central,7.0
Borough,London Bridge,Northern,9.0
Caledonian Road,Holloway Road,Piccadilly,10.0
Cambridge Heath,London Fields,LO,15.0
Camden Road,Kentish Town West,LO,13.0
Camden Town,Chalk Farm,Northern,12.0
Camden Town,Kentish Town,Northern,16.0
Canada Water,Canary Wharf,Jubilee,89.0
Canada Water,Rotherhithe,LO,8.0
Canary Wharf,Heron Quays,DLR,2.0
Canary Wharf,North Greenwich,Jubilee,76.0
Canning Town,Royal Victoria,DLR,11.0
Canning Town,Star Lane,DLR,11.0
Canning Town,West Ham,Jubilee,22.0
Canning Town,West Silvertown,DLR,19.0
Cannon Street,Monument,District,5.0
Canonbury,Highbury & Islington,LO,13.0
Catford,Crofton Park,NR,23.0
Catford Bridge,Ladywell,NR,20.0
Chalk Farm,Belsize Park,Northern,14.0
Chancery Lane,St. Paul's,Central,14.0
